accession	sample_title	breed	scientific_name	sex	center_name
SAMN09379778	69091162		Bos taurus	male	University of Alberta
SAMN09379779	108375326		Bos taurus	male	University of Alberta
SAMN09379780	108373399		Bos taurus	male	University of Alberta
SAMN09379781	108375808		Bos taurus	male	University of Alberta
SAMN09379782	108380546		Bos taurus	male	University of Alberta
SAMN09379783	108376229		Bos taurus	male	University of Alberta
SAMN09379784	108379476		Bos taurus	male	University of Alberta
SAMN09379785	108381661		Bos taurus	male	University of Alberta
SAMN09379786	108381250		Bos taurus	male	University of Alberta
SAMN09379787	108372727		Bos taurus	male	University of Alberta
SAMN09379788	108372946		Bos taurus	male	University of Alberta
